"","gene_name","gene_type","total","known","ISM.pre","ISM.suffix","NIC","NNC"
"1779","AC064805.2","lncRNA",1,1,0,0,0,0
"1780","AC064807.1","lncRNA",2,2,0,0,0,0
"1781","AC064807.4","lncRNA",1,1,0,0,0,0
"1782","AC064836.1","processed_pseudogene",1,1,0,0,0,0
"1783","AC064836.2","lncRNA",1,1,0,0,0,0
"1784","AC064836.3","lncRNA",1,1,0,0,0,0
"1785","AC064836.4","lncRNA",1,1,0,0,0,0
"1786","AC064847.1","processed_pseudogene",1,1,0,0,0,0
"1787","AC064875.1","lncRNA",3,3,0,0,0,0
"1788","AC066612.1","lncRNA",1,1,0,0,0,0
"1789","AC067747.1","lncRNA",1,1,0,0,0,0
"1790","AC067750.1","lncRNA",1,1,0,0,0,0
"1791","AC067773.1","lncRNA",1,1,0,0,0,0
"1792","AC067838.1","lncRNA",1,1,0,0,0,0
"1793","AC067852.2","lncRNA",1,1,0,0,0,0
"1794","AC067852.3","lncRNA",1,1,0,0,0,0
"1795","AC067852.5","lncRNA",1,1,0,0,0,0
"1796","AC067930.5","TEC",1,1,0,0,0,0
"1797","AC067942.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"1798","AC067968.2","lncRNA",1,1,0,0,0,0
"1799","AC068020.1","lncRNA",1,1,0,0,0,0
"1800","AC068057.2","lncRNA",2,2,0,0,0,0
"1801","AC068057.3","TEC",1,1,0,0,0,0
"1802","AC068057.4","lncRNA",2,0,0,0,0,0
"1803","AC068134.3","processed_pseudogene",1,1,0,0,0,0
"1804","AC068205.2","lncRNA",7,1,0,0,2,3
"1805","AC068213.1","TEC",1,1,0,0,0,0
"1806","AC068234.3","lncRNA",1,1,0,0,0,0
"1807","AC068254.2","TEC",1,1,0,0,0,0
"1808","AC068282.2","lncRNA",1,1,0,0,0,0
"1809","AC068308.1","lncRNA",2,2,0,0,0,0
"1810","AC068338.2","lncRNA",1,1,0,0,0,0
"1811","AC068338.3","lncRNA",1,1,0,0,0,0
"1812","AC068446.1","processed_pseudogene",1,1,0,0,0,0
"1813","AC068446.2","lncRNA",1,1,0,0,0,0
"1814","AC068448.2","TEC",1,1,0,0,0,0
"1815","AC068473.3","lncRNA",1,1,0,0,0,0
"1816","AC068473.5","lncRNA",1,1,0,0,0,0
"1817","AC068491.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"1818","AC068491.3","lncRNA",1,1,0,0,0,0
"1819","AC068522.1","processed_pseudogene",1,1,0,0,0,0
"1820","AC068535.1","lncRNA",6,4,1,0,1,0
"1821","AC068547.1","protein_coding",2,0,0,2,0,0
"1822","AC068580.4","protein_coding",1,1,0,0,0,0
"1823","AC068587.2","miRNA",1,1,0,0,0,0
"1824","AC068587.4","lncRNA",1,0,0,0,1,0
"1825","AC068587.5","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"1826","AC068587.6","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"1827","AC068587.8","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"1828","AC068620.1","lncRNA",1,1,0,0,0,0
"1829","AC068620.2","lncRNA",1,1,0,0,0,0
"1830","AC068631.4","processed_pseudogene",1,1,0,0,0,0
"1831","AC068641.1","miRNA",1,1,0,0,0,0
"1832","AC068643.1","lncRNA",2,2,0,0,0,0
"1833","AC068657.2","processed_pseudogene",1,1,0,0,0,0
"1834","AC068669.1","TEC",1,1,0,0,0,0
"1835","AC068700.1","lncRNA",1,1,0,0,0,0
"1836","AC068700.2","lncRNA",1,1,0,0,0,0
"1837","AC068706.2","miRNA",1,1,0,0,0,0
"1838","AC068722.1","lncRNA",1,0,0,0,1,0
"1839","AC068733.2","processed_pseudogene",1,1,0,0,0,0
"1840","AC068733.3","lncRNA",2,2,0,0,0,0
"1841","AC068768.1","lncRNA",1,1,0,0,0,0
"1842","AC068790.2","lncRNA",1,1,0,0,0,0
"1843","AC068790.3","lncRNA",1,1,0,0,0,0
"1844","AC068790.4","lncRNA",1,1,0,0,0,0
"1845","AC068790.5","lncRNA",1,1,0,0,0,0
"1846","AC068790.6","lncRNA",1,1,0,0,0,0
"1847","AC068790.7","lncRNA",1,1,0,0,0,0
"1848","AC068792.1","lncRNA",1,1,0,0,0,0
"1849","AC068831.8","protein_coding",1,0,0,0,0,1
"1850","AC068860.1","TEC",1,1,0,0,0,0
"1851","AC068870.2","lncRNA",1,1,0,0,0,0
"1852","AC068880.4","TEC",1,1,0,0,0,0
"1853","AC068888.1","lncRNA",15,14,1,0,0,0
"1854","AC068896.3","protein_coding",10,0,2,1,6,1
"1855","AC068946.1","miRNA",1,1,0,0,0,0
"1856","AC068987.1","lncRNA",1,1,0,0,0,0
"1857","AC069133.1","lncRNA",1,1,0,0,0,0
"1858","AC069148.1","lncRNA",1,1,0,0,0,0
"1859","AC069200.3","lncRNA",1,1,0,0,0,0
"1860","AC069222.1","lncRNA",1,1,0,0,0,0
"1861","AC069224.2","lncRNA",2,1,0,0,0,0
"1862","AC069228.1","lncRNA",1,1,0,0,0,0
"1863","AC069234.5","lncRNA",1,1,0,0,0,0
"1864","AC069243.1","lncRNA",1,1,0,0,0,0
"1865","AC069257.3","processed_pseudogene",1,1,0,0,0,0
"1866","AC069271.1","processed_pseudogene",1,1,0,0,0,0
"1867","AC069278.4","lincRNA",1,1,0,0,0,0
"1868","AC069286.1","miRNA",1,1,0,0,0,0
"1869","AC069288.1","protein_coding",1,0,0,0,1,0
"1870","AC069294.1","lncRNA",1,1,0,0,0,0
"1871","AC069294.1","miRNA",1,1,0,0,0,0
"1872","AC069366.1","processed_pseudogene",1,1,0,0,0,0
"1873","AC069366.2","lncRNA",1,1,0,0,0,0
"1874","AC069368.1","protein_coding",1,0,0,0,0,1
"1875","AC069404.1","lncRNA",1,1,0,0,0,0
"1876","AC069499.2","processed_pseudogene",1,1,0,0,0,0
"1877","AC069503.1","lncRNA",1,1,0,0,0,0
"1878","AC069528.2","TEC",1,1,0,0,0,0
"1879","AC069544.1","lncRNA",3,1,1,0,0,1
"1880","AC072022.1","lncRNA",1,0,0,0,0,0
"1881","AC072028.1","lncRNA",5,1,1,0,1,2
"1882","AC072039.1","processed_pseudogene",1,1,0,0,0,0
"1883","AC072039.2","lncRNA",1,1,0,0,0,0
"1884","AC072054.1","lncRNA",1,1,0,0,0,0
"1885","AC072061.1","lncRNA",1,1,0,0,0,0
"1886","AC073046.1","lncRNA",1,1,0,0,0,0
"1887","AC073050.1","lncRNA",3,1,1,0,0,1
"1888","AC073052.1","processed_pseudogene",1,1,0,0,0,0
"1889","AC073073.2","lncRNA",1,1,0,0,0,0
"1890","AC073089.1","miRNA",1,1,0,0,0,0
"1891","AC073107.1","transcribed_unprocessed_pseudogene",4,1,0,0,2,1
"1892","AC073111.3","lncRNA",5,1,0,0,1,3
"1893","AC073111.4","protein_coding",11,5,0,2,3,1
"1894","AC073127.1","miRNA",1,1,0,0,0,0
"1895","AC073130.3","TEC",1,1,0,0,0,0
"1896","AC073150.1","processed_pseudogene",1,1,0,0,0,0
"1897","AC073195.2","lncRNA",1,1,0,0,0,0
"1898","AC073210.3","lncRNA",2,2,0,0,0,0
"1899","AC073225.1","lncRNA",3,3,0,0,0,0
"1900","AC073236.1","lncRNA",1,1,0,0,0,0
"1901","AC073263.1","lncRNA",3,2,0,0,0,0
"1902","AC073264.3","transcribed_unprocessed_pseudogene",2,2,0,0,0,0
"1903","AC073283.2","lncRNA",1,1,0,0,0,0
"1904","AC073314.1","lncRNA",1,1,0,0,0,0
"1905","AC073316.3","lncRNA",1,1,0,0,0,0
"1906","AC073332.1","lncRNA",2,2,0,0,0,0
"1907","AC073333.2","processed_pseudogene",1,1,0,0,0,0
"1908","AC073335.1","processed_pseudogene",1,1,0,0,0,0
"1909","AC073342.1","lncRNA",2,1,1,0,0,0
"1910","AC073343.2","lncRNA",6,2,0,0,0,4
"1911","AC073343.2","miRNA",1,1,0,0,0,0
"1912","AC073346.2","TEC",1,1,0,0,0,0
"1913","AC073352.1","lncRNA",1,1,0,0,0,0
"1914","AC073352.2","lncRNA",1,1,0,0,0,0
"1915","AC073389.1","lncRNA",1,1,0,0,0,0
"1916","AC073389.2","lncRNA",1,1,0,0,0,0
"1917","AC073410.1","processed_pseudogene",1,1,0,0,0,0
"1918","AC073415.1","processed_pseudogene",1,1,0,0,0,0
"1919","AC073439.1","TEC",1,1,0,0,0,0
"1920","AC073476.1","processed_pseudogene",1,1,0,0,0,0
"1921","AC073476.3","lncRNA",1,1,0,0,0,0
"1922","AC073508.3","lncRNA",3,1,0,0,0,1
"1923","AC073529.1","lncRNA",2,2,0,0,0,0
"1924","AC073530.2","TEC",1,1,0,0,0,0
"1925","AC073534.1","processed_pseudogene",1,1,0,0,0,0
"1926","AC073534.2","lncRNA",1,1,0,0,0,0
"1927","AC073548.1","TEC",1,1,0,0,0,0
"1928","AC073551.1","processed_pseudogene",1,1,0,0,0,0
"1929","AC073569.3","lncRNA",1,1,0,0,0,0
"1930","AC073575.4","lncRNA",1,1,0,0,0,0
"1931","AC073583.1","processed_pseudogene",1,1,0,0,0,0
"1932","AC073585.2","protein_coding",2,0,0,0,2,0
"1933","AC073592.2","TEC",1,1,0,0,0,0
"1934","AC073592.5","TEC",1,1,0,0,0,0
"1935","AC073592.7","TEC",1,1,0,0,0,0
"1936","AC073593.2","lncRNA",1,1,0,0,0,0
"1937","AC073594.1","processed_pseudogene",1,1,0,0,0,0
"1938","AC073597.1","miRNA",1,1,0,0,0,0
"1939","AC073610.1","processed_pseudogene",1,1,0,0,0,0
"1940","AC073610.2","protein_coding",2,1,1,0,0,0
"1941","AC073626.2","processed_pseudogene",1,1,0,0,0,0
"1942","AC073655.2","lncRNA",2,1,1,0,0,0
"1943","AC073657.2","processed_pseudogene",2,0,1,0,0,1
"1944","AC073857.1","TEC",1,1,0,0,0,0
"1945","AC073861.1","processed_pseudogene",1,1,0,0,0,0
"1946","AC073862.3","TEC",1,1,0,0,0,0
"1947","AC073862.4","TEC",1,1,0,0,0,0
"1948","AC073862.5","TEC",1,1,0,0,0,0
"1949","AC073869.1","transcribed_processed_pseudogene",29,2,0,12,13,2
"1950","AC073869.3","lncRNA",1,1,0,0,0,0
"1951","AC073896.2","lncRNA",2,2,0,0,0,0
"1952","AC073909.1","processed_pseudogene",1,1,0,0,0,0
"1953","AC073910.1","processed_pseudogene",1,1,0,0,0,0
"1954","AC073912.4","TEC",1,1,0,0,0,0
"1955","AC073916.1","processed_pseudogene",1,1,0,0,0,0
"1956","AC073957.3","lncRNA",1,1,0,0,0,0
"1957","AC073987.1","lncRNA",1,0,1,0,0,0
"1958","AC074008.1","lncRNA",1,1,0,0,0,0
"1959","AC074029.3","lncRNA",1,1,0,0,0,0
"1960","AC074029.4","TEC",1,1,0,0,0,0
"1961","AC074032.1","lncRNA",1,1,0,0,0,0
"1962","AC074044.1","lncRNA",1,1,0,0,0,0
"1963","AC074050.4","lncRNA",1,1,0,0,0,0
"1964","AC074051.1","processed_pseudogene",1,1,0,0,0,0
"1965","AC074091.1","miRNA",1,1,0,0,0,0
"1966","AC074091.2","lncRNA",1,0,1,0,0,0
"1967","AC074134.1","processed_pseudogene",1,1,0,0,0,0
"1968","AC074135.1","lncRNA",5,2,1,0,1,1
"1969","AC074138.1","lncRNA",1,1,0,0,0,0
"1970","AC074139.1","lncRNA",1,0,0,0,0,1
"1971","AC074141.1","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"1972","AC074194.2","TEC",1,1,0,0,0,0
"1973","AC074212.1","lncRNA",1,1,0,0,0,0
"1974","AC074276.2","processed_pseudogene",1,1,0,0,0,0
"1975","AC074286.1","lncRNA",1,1,0,0,0,0
"1976","AC074338.1","processed_pseudogene",1,1,0,0,0,0
"1977","AC074351.1","lncRNA",1,1,0,0,0,0
"1978","AC074367.1","processed_pseudogene",1,1,0,0,0,0
"1979","AC074386.1","lncRNA",1,1,0,0,0,0
"1980","AC076968.2","lncRNA",4,3,0,0,1,0
"1981","AC078785.1","lncRNA",7,6,0,0,0,1
"1982","AC078785.3","processed_pseudogene",1,1,0,0,0,0
"1983","AC078794.1","miRNA",1,1,0,0,0,0
"1984","AC078795.1","lncRNA",1,1,0,0,0,0
"1985","AC078795.2","lncRNA",1,1,0,0,0,0
"1986","AC078795.3","lncRNA",1,1,0,0,0,0
"1987","AC078819.1","miRNA",1,1,0,0,0,0
"1988","AC078842.2","lncRNA",1,1,0,0,0,0
"1989","AC078846.1","lncRNA",3,1,0,0,0,1
"1990","AC078857.1","processed_pseudogene",1,1,0,0,0,0
"1991","AC078883.1","lncRNA",1,1,0,0,0,0
"1992","AC078883.2","lncRNA",1,1,0,0,0,0
"1993","AC078886.1","processed_pseudogene",1,1,0,0,0,0
"1994","AC078909.1","lncRNA",5,1,0,2,1,0
"1995","AC078909.2","lncRNA",1,1,0,0,0,0
"1996","AC078917.1","miRNA",1,1,0,0,0,0
"1997","AC078942.1","lncRNA",1,1,0,0,0,0
"1998","AC079089.1","lncRNA",5,3,1,0,1,0
"1999","AC079117.3","miRNA",1,1,0,0,0,0
"2000","AC079140.2","processed_pseudogene",1,1,0,0,0,0
"2001","AC079140.4","processed_pseudogene",1,1,0,0,0,0
"2002","AC079140.5","processed_pseudogene",1,1,0,0,0,0
"2003","AC079140.6","lncRNA",1,1,0,0,0,0
"2004","AC079142.1","lncRNA",1,1,0,0,0,0
"2005","AC079145.1","lncRNA",2,2,0,0,0,0
"2006","AC079148.1","lncRNA",1,1,0,0,0,0
"2007","AC079154.1","lncRNA",1,1,0,0,0,0
"2008","AC079174.2","lncRNA",1,1,0,0,0,0
"2009","AC079203.1","processed_pseudogene",1,1,0,0,0,0
"2010","AC079233.1","miRNA",1,1,0,0,0,0
"2011","AC079296.1","lncRNA",2,2,0,0,0,0
"2012","AC079305.4","lncRNA",1,1,0,0,0,0
"2013","AC079316.1","processed_pseudogene",1,1,0,0,0,0
"2014","AC079316.2","TEC",1,1,0,0,0,0
"2015","AC079331.1","TEC",1,1,0,0,0,0
"2016","AC079331.2","TEC",1,1,0,0,0,0
"2017","AC079336.5","lncRNA",2,2,0,0,0,0
"2018","AC079336.6","TEC",1,1,0,0,0,0
"2019","AC079341.1","lncRNA",1,1,0,0,0,0
"2020","AC079341.2","lncRNA",1,1,0,0,0,0
"2021","AC079385.2","lncRNA",2,1,0,0,1,0
"2022","AC079411.1","lncRNA",1,1,0,0,0,0
"2023","AC079414.3","lncRNA",1,1,0,0,0,0
"2024","AC079416.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"2025","AC079416.3","TEC",1,1,0,0,0,0
"2026","AC079416.4","TEC",1,1,0,0,0,0
"2027","AC079447.1","protein_coding",1,0,0,0,0,1
"2028","AC079448.1","processed_pseudogene",1,1,0,0,0,0
"2029","AC079465.1","lncRNA",1,0,0,0,1,0
"2030","AC079594.2","protein_coding",1,0,0,0,0,0
"2031","AC079598.3","processed_pseudogene",1,1,0,0,0,0
"2032","AC079601.2","lncRNA",1,1,0,0,0,0
"2033","AC079610.1","lncRNA",1,1,0,0,0,0
"2034","AC079684.2","lncRNA",1,1,0,0,0,0
"2035","AC079741.1","processed_pseudogene",1,1,0,0,0,0
"2036","AC079753.1","TEC",1,1,0,0,0,0
"2037","AC079766.1","lncRNA",1,1,0,0,0,0
"2038","AC079776.5","lncRNA",2,2,0,0,0,0
"2039","AC079777.1","TEC",1,1,0,0,0,0
"2040","AC079779.3","lncRNA",1,1,0,0,0,0
"2041","AC079780.1","processed_pseudogene",1,1,0,0,0,0
"2042","AC079781.2","processed_pseudogene",1,1,0,0,0,0
"2043","AC079781.5","lncRNA",23,1,6,8,8,0
"2044","AC079807.1","lncRNA",3,3,0,0,0,0
"2045","AC079834.2","lncRNA",1,1,0,0,0,0
"2046","AC079848.1","lncRNA",2,2,0,0,0,0
"2047","AC079848.2","lncRNA",5,5,0,0,0,0
"2048","AC079866.1","processed_pseudogene",1,1,0,0,0,0
"2049","AC079905.1","processed_pseudogene",1,1,0,0,0,0
"2050","AC079922.1","processed_pseudogene",1,1,0,0,0,0
"2051","AC079922.2","lncRNA",1,1,0,0,0,0
"2052","AC079944.2","processed_pseudogene",1,1,0,0,0,0
"2053","AC079949.1","lncRNA",3,3,0,0,0,0
"2054","AC079949.2","lncRNA",1,1,0,0,0,0
"2055","AC080013.1","lncRNA",3,2,0,0,1,0
"2056","AC080013.2","processed_pseudogene",1,1,0,0,0,0
"2057","AC080013.3","lncRNA",1,1,0,0,0,0
"2058","AC080013.5","lncRNA",1,1,0,0,0,0
"2059","AC080013.6","lncRNA",1,1,0,0,0,0
"2060","AC080014.1","processed_pseudogene",1,1,0,0,0,0
"2061","AC080023.1","lncRNA",1,1,0,0,0,0
"2062","AC080023.2","processed_pseudogene",1,1,0,0,0,0
"2063","AC080038.2","lncRNA",1,1,0,0,0,0
"2064","AC080038.3","lncRNA",1,1,0,0,0,0
"2065","AC080075.1","lncRNA",1,1,0,0,0,0
"2066","AC080080.1","TEC",1,1,0,0,0,0
"2067","AC080100.1","TEC",1,1,0,0,0,0
"2068","AC080128.3","protein_coding",1,1,0,0,0,0
"2069","AC080188.1","lncRNA",1,1,0,0,0,0
"2070","AC080188.2","TEC",1,1,0,0,0,0
"2071","AC083798.2","lncRNA",3,3,0,0,0,0
"2072","AC083799.1","lncRNA",1,1,0,0,0,0
"2073","AC083805.2","lncRNA",1,1,0,0,0,0
"2074","AC083809.1","lncRNA",1,1,0,0,0,0
"2075","AC083811.1","miRNA",1,1,0,0,0,0
"2076","AC083837.1","lncRNA",1,0,1,0,0,0
"2077","AC083843.3","lncRNA",1,1,0,0,0,0
"2078","AC083843.4","TEC",1,1,0,0,0,0
"2079","AC083862.2","lncRNA",1,1,0,0,0,0
"2080","AC083862.3","lncRNA",1,1,0,0,0,0
"2081","AC083880.1","lncRNA",1,1,0,0,0,0
"2082","AC083964.1","lncRNA",1,1,0,0,0,0
"2083","AC083977.1","protein_coding",1,1,0,0,0,0
"2084","AC084018.2","lncRNA",1,1,0,0,0,0
"2085","AC084035.1","lncRNA",1,1,0,0,0,0
"2086","AC084036.1","lncRNA",1,1,0,0,0,0
"2087","AC084121.3","unprocessed_pseudogene",1,1,0,0,0,0
"2088","AC084121.4","unprocessed_pseudogene",1,1,0,0,0,0
"2089","AC084125.3","miRNA",1,1,0,0,0,0
"2090","AC084198.4","lncRNA",1,1,0,0,0,0
"2091","AC084262.1","lncRNA",1,1,0,0,0,0
"2092","AC084262.2","lncRNA",1,1,0,0,0,0
"2093","AC084375.1","lncRNA",1,1,0,0,0,0
"2094","AC084757.1","processed_pseudogene",1,1,0,0,0,0
"2095","AC084757.3","lncRNA",1,1,0,0,0,0
"2096","AC084757.4","lncRNA",1,1,0,0,0,0
"2097","AC084782.1","lncRNA",1,1,0,0,0,0
"2098","AC084782.3","lncRNA",1,1,0,0,0,0
"2099","AC084809.1","lncRNA",2,1,0,0,1,0
"2100","AC084816.1","lncRNA",1,1,0,0,0,0
"2101","AC084824.2","processed_pseudogene",1,1,0,0,0,0
"2102","AC084824.3","processed_pseudogene",1,1,0,0,0,0
"2103","AC084824.4","lncRNA",1,1,0,0,0,0
"2104","AC084824.5","lncRNA",1,1,0,0,0,0
"2105","AC084824.6","lncRNA",1,1,0,0,0,0
"2106","AC084871.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"2107","AC084876.1","lncRNA",1,1,0,0,0,0
"2108","AC084876.2","TEC",1,1,0,0,0,0
"2109","AC084882.1","lncRNA",1,1,0,0,0,0
"2110","AC084882.1","miRNA",1,1,0,0,0,0
"2111","AC087045.1","processed_pseudogene",1,1,0,0,0,0
"2112","AC087072.2","unprocessed_pseudogene",1,1,0,0,0,0
"2113","AC087190.3","lncRNA",1,1,0,0,0,0
"2114","AC087203.1","miRNA",1,1,0,0,0,0
"2115","AC087203.1","processed_pseudogene",1,1,0,0,0,0
"2116","AC087203.3","lncRNA",1,1,0,0,0,0
"2117","AC087222.1","lncRNA",1,1,0,0,0,0
"2118","AC087239.1","lncRNA",1,1,0,0,0,0
"2119","AC087241.2","lncRNA",1,1,0,0,0,0
"2120","AC087280.1","processed_pseudogene",1,1,0,0,0,0
"2121","AC087284.1","lncRNA",1,1,0,0,0,0
"2122","AC087294.1","lncRNA",1,1,0,0,0,0
"2123","AC087369.1","processed_pseudogene",1,1,0,0,0,0
"2124","AC087385.1","processed_pseudogene",1,1,0,0,0,0
"2125","AC087392.3","lncRNA",1,1,0,0,0,0
"2126","AC087392.5","lncRNA",1,1,0,0,0,0
"2127","AC087441.2","processed_pseudogene",1,1,0,0,0,0
"2128","AC087457.1","lncRNA",1,1,0,0,0,0
"2129","AC087477.2","lncRNA",1,1,0,0,0,0
"2130","AC087500.1","lncRNA",3,3,0,0,0,0
"2131","AC087501.4","lncRNA",1,1,0,0,0,0
"2132","AC087516.1","lncRNA",1,1,0,0,0,0
"2133","AC087521.2","lncRNA",1,1,0,0,0,0
"2134","AC087623.2","lncRNA",1,1,0,0,0,0
"2135","AC087623.3","lncRNA",1,1,0,0,0,0
"2136","AC087627.1","lncRNA",1,1,0,0,0,0
"2137","AC087636.1","lncRNA",1,1,0,0,0,0
"2138","AC087639.1","processed_pseudogene",1,1,0,0,0,0
"2139","AC087641.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"2140","AC087664.3","processed_pseudogene",1,1,0,0,0,0
"2141","AC087683.1","processed_pseudogene",1,1,0,0,0,0
"2142","AC087721.2","protein_coding",30,0,2,6,21,1
"2143","AC087741.1","lncRNA",1,1,0,0,0,0
"2144","AC087741.3","TEC",1,1,0,0,0,0
"2145","AC087742.1","lncRNA",3,1,0,0,1,0
"2146","AC087752.3","lncRNA",1,0,1,0,0,0
"2147","AC087793.1","miRNA",1,1,0,0,0,0
"2148","AC087854.2","processed_pseudogene",1,1,0,0,0,0
"2149","AC087893.3","lncRNA",1,1,0,0,0,0
"2150","AC089998.3","processed_pseudogene",1,1,0,0,0,0
"2151","AC089999.4","lncRNA",1,1,0,0,0,0
"2152","AC090001.2","processed_pseudogene",1,1,0,0,0,0
"2153","AC090004.2","lncRNA",1,1,0,0,0,0
"2154","AC090058.1","processed_pseudogene",1,1,0,0,0,0
"2155","AC090114.1","processed_pseudogene",1,1,0,0,0,0
"2156","AC090114.2","lncRNA",2,1,0,0,0,0
"2157","AC090125.2","lncRNA",1,1,0,0,0,0
"2158","AC090136.3","lncRNA",5,3,0,0,0,2
"2159","AC090152.1","lncRNA",4,3,0,0,1,0
"2160","AC090181.2","lncRNA",1,1,0,0,0,0
"2161","AC090181.3","TEC",1,1,0,0,0,0
"2162","AC090186.1","protein_coding",1,1,0,0,0,0
"2163","AC090204.1","lncRNA",2,1,0,0,1,0
"2164","AC090206.1","miRNA",1,1,0,0,0,0
"2165","AC090220.1","lncRNA",1,1,0,0,0,0
"2166","AC090229.1","lncRNA",1,1,0,0,0,0
"2167","AC090236.2","lncRNA",1,1,0,0,0,0
"2168","AC090241.2","lncRNA",3,3,0,0,0,0
"2169","AC090241.3","lncRNA",1,1,0,0,0,0
"2170","AC090246.1","lncRNA",1,1,0,0,0,0
"2171","AC090260.2","lncRNA",1,1,0,0,0,0
"2172","AC090286.3","transcribed_processed_pseudogene",1,1,0,0,0,0
"2173","AC090360.1","protein_coding",3,2,0,0,1,0
"2174","AC090373.1","TEC",1,1,0,0,0,0
"2175","AC090398.2","lncRNA",1,1,0,0,0,0
"2176","AC090409.1","lncRNA",1,1,0,0,0,0
"2177","AC090420.1","miRNA",1,1,0,0,0,0
"2178","AC090425.2","lncRNA",1,1,0,0,0,0
"2179","AC090425.3","lncRNA",1,1,0,0,0,0
"2180","AC090453.1","processed_pseudogene",2,1,0,0,0,1
"2181","AC090498.1","processed_pseudogene",1,1,0,0,0,0
"2182","AC090510.3","lncRNA",1,1,0,0,0,0
"2183","AC090515.3","lncRNA",1,1,0,0,0,0
"2184","AC090517.2","lncRNA",1,1,0,0,0,0
"2185","AC090517.5","lncRNA",5,3,2,0,0,0
"2186","AC090519.1","processed_pseudogene",1,1,0,0,0,0
"2187","AC090527.4","lncRNA",1,1,0,0,0,0
"2188","AC090543.3","processed_pseudogene",1,1,0,0,0,0
"2189","AC090559.1","lncRNA",1,1,0,0,0,0
"2190","AC090578.1","lncRNA",10,6,1,2,1,0
"2191","AC090579.1","lncRNA",1,1,0,0,0,0
"2192","AC090587.1","lncRNA",1,1,0,0,0,0
"2193","AC090607.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"2194","AC090607.5","lncRNA",1,1,0,0,0,0
"2195","AC090616.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"2196","AC090616.4","processed_pseudogene",1,1,0,0,0,0
"2197","AC090616.6","TEC",1,1,0,0,0,0
"2198","AC090617.10","lncRNA",1,1,0,0,0,0
"2199","AC090617.7","TEC",1,1,0,0,0,0
"2200","AC090625.1","processed_pseudogene",1,1,0,0,0,0
"2201","AC090630.1","lncRNA",1,1,0,0,0,0
"2202","AC090651.1","lncRNA",1,1,0,0,0,0
"2203","AC090673.1","miRNA",1,1,0,0,0,0
"2204","AC090686.1","processed_pseudogene",1,1,0,0,0,0
"2205","AC090692.1","lncRNA",1,1,0,0,0,0
"2206","AC090692.1","miRNA",1,1,0,0,0,0
"2207","AC090695.2","processed_pseudogene",1,1,0,0,0,0
"2208","AC090699.2","processed_pseudogene",1,1,0,0,0,0
"2209","AC090720.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"2210","AC090740.1","TEC",1,1,0,0,0,0
"2211","AC090772.5","TEC",1,1,0,0,0,0
"2212","AC090825.1","lncRNA",3,3,0,0,0,0
"2213","AC090877.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"2214","AC090877.2","lncRNA",1,1,0,0,0,0
"2215","AC090907.2","lncRNA",1,0,0,0,0,1
"2216","AC090912.3","lncRNA",1,1,0,0,0,0
"2217","AC090946.1","lncRNA",1,1,0,0,0,0
"2218","AC090948.1","lncRNA",1,1,0,0,0,0
"2219","AC090948.2","lncRNA",1,1,0,0,0,0
"2220","AC090948.3","lncRNA",1,1,0,0,0,0
"2221","AC090950.1","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"2222","AC090950.2","TEC",1,1,0,0,0,0
"2223","AC090960.1","processed_pseudogene",1,1,0,0,0,0
"2224","AC090970.2","lncRNA",1,1,0,0,0,0
"2225","AC090983.1","lncRNA",1,1,0,0,0,0
"2226","AC090984.1","TEC",1,1,0,0,0,0
"2227","AC090994.1","lncRNA",1,1,0,0,0,0
"2228","AC091046.1","processed_pseudogene",1,1,0,0,0,0
"2229","AC091057.4","lncRNA",1,1,0,0,0,0
"2230","AC091060.1","TEC",1,1,0,0,0,0
"2231","AC091078.1","lncRNA",2,2,0,0,0,0
"2232","AC091096.1","miRNA",1,1,0,0,0,0
"2233","AC091132.3","TEC",1,1,0,0,0,0
"2234","AC091144.1","processed_pseudogene",1,1,0,0,0,0
"2235","AC091144.2","processed_pseudogene",1,1,0,0,0,0
"2236","AC091152.1","processed_pseudogene",1,1,0,0,0,0
"2237","AC091152.2","lncRNA",1,1,0,0,0,0
"2238","AC091152.4","TEC",1,1,0,0,0,0
"2239","AC091153.3","lncRNA",1,1,0,0,0,0
"2240","AC091167.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"2241","AC091167.3","unprocessed_pseudogene",1,1,0,0,0,0
"2242","AC091167.5","lncRNA",1,1,0,0,0,0
"2243","AC091167.7","protein_coding",31,1,1,1,6,22
"2244","AC091180.3","lncRNA",1,1,0,0,0,0
"2245","AC091181.1","TEC",1,1,0,0,0,0
"2246","AC091182.1","lncRNA",1,0,0,0,0,1
"2247","AC091230.1","protein_coding",91,9,0,14,66,2
