"MGI.symbol","ENSMUSG","HGNC.symbol","ENSG","dataset","RBP","msORhs","data.type","dataset.id","regulation"
"Cux2","ENSMUSG00000042589","CUX2","ENSG00000111249","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cwc27","ENSMUSG00000021715","CWC27","ENSG00000153015","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cwf19l1","ENSMUSG00000025200","CWF19L1","ENSG00000095485","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cwf19l2","ENSMUSG00000025898","CWF19L2","ENSG00000152404","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cxxc5","ENSMUSG00000046668","CXXC5","ENSG00000171604","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cyb5b","ENSMUSG00000031924","CYB5B","ENSG00000103018","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cygb","ENSMUSG00000020810","CYGB","ENSG00000161544","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cyhr1","ENSMUSG00000053929","CYHR1","ENSG00000187954","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cyth1","ENSMUSG00000017132","CYTH1","ENSG00000108669","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Cyth3","ENSMUSG00000018001","CYTH3","ENSG00000008256","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"D3Ertd751e","ENSMUSG00000025766","C4orf33","ENSG00000151470","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"D430042O09Rik","ENSMUSG00000032743","KIAA0556","ENSG00000047578","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Daam1","ENSMUSG00000034574","DAAM1","ENSG00000100592","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dab1","ENSMUSG00000028519","DAB1","ENSG00000173406","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dab2ip","ENSMUSG00000026883","DAB2IP","ENSG00000136848","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dapk1","ENSMUSG00000021559","DAPK1","ENSG00000196730","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dazap1","ENSMUSG00000069565","DAZAP1","ENSG00000071626","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dbn1","ENSMUSG00000034675","DBN1","ENSG00000113758","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dbx2","ENSMUSG00000045608","DBX2","ENSG00000185610","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcaf13","ENSMUSG00000022300","DCAF13","ENSG00000164934","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcaf5","ENSMUSG00000049106","DCAF5","ENSG00000139990","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcaf6","ENSMUSG00000026571","DCAF6","ENSG00000143164","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcaf7","ENSMUSG00000049354","DCAF7","ENSG00000136485","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcaf8","ENSMUSG00000026554","DCAF8","ENSG00000132716","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcakd","ENSMUSG00000020935","DCAKD","ENSG00000172992","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcbld2","ENSMUSG00000035107","DCBLD2","ENSG00000057019","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dclk2","ENSMUSG00000028078","DCLK2","ENSG00000170390","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcps","ENSMUSG00000032040","DCPS","ENSG00000110063","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dctd","ENSMUSG00000031562","DCTD","ENSG00000129187","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcun1d2","ENSMUSG00000038506","DCUN1D2","ENSG00000150401","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcun1d3","ENSMUSG00000048787","DCUN1D3","ENSG00000188215","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dcun1d4","ENSMUSG00000051674","DCUN1D4","ENSG00000109184","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddhd2","ENSMUSG00000061313","DDHD2","ENSG00000085788","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx11","ENSMUSG00000035842","DDX11","ENSG00000013573","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx17","ENSMUSG00000055065","DDX17","ENSG00000100201","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx21","ENSMUSG00000020075","DDX21","ENSG00000165732","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx27","ENSMUSG00000017999","DDX27","ENSG00000124228","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx39b","ENSMUSG00000019432","DDX39B","ENSG00000198563","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx42","ENSMUSG00000020705","DDX42","ENSG00000198231","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx46","ENSMUSG00000021500","DDX46","ENSG00000145833","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx5","ENSMUSG00000020719","DDX5","ENSG00000108654","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ddx50","ENSMUSG00000020076","DDX50","ENSG00000107625","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dennd1a","ENSMUSG00000035392","DENND1A","ENSG00000119522","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dennd1b","ENSMUSG00000056268","DENND1B","ENSG00000213047","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dennd2a","ENSMUSG00000038456","DENND2A","ENSG00000146966","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dennd5a","ENSMUSG00000035901","DENND5A","ENSG00000184014","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dennd6a","ENSMUSG00000040818","DENND6A","ENSG00000174839","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dennd6b","ENSMUSG00000015377","DENND6B","ENSG00000205593","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Derl2","ENSMUSG00000018442","DERL2","ENSG00000072849","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Desi1","ENSMUSG00000022472","DESI1","ENSG00000100418","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dgke","ENSMUSG00000000276","DGKE","ENSG00000153933","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dgki","ENSMUSG00000038665","DGKI","ENSG00000157680","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dgkz","ENSMUSG00000040479","DGKZ","ENSG00000149091","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dhx15","ENSMUSG00000029169","DHX15","ENSG00000109606","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dhx37","ENSMUSG00000029480","DHX37","ENSG00000150990","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dhx40","ENSMUSG00000018425","DHX40","ENSG00000108406","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dhx9","ENSMUSG00000042699","DHX9","ENSG00000135829","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dicer1","ENSMUSG00000041415","DICER1","ENSG00000100697","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dido1","ENSMUSG00000038914","DIDO1","ENSG00000101191","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dip2b","ENSMUSG00000023026","DIP2B","ENSG00000066084","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dip2c","ENSMUSG00000048264","DIP2C","ENSG00000151240","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dis3l","ENSMUSG00000032396","DIS3L","ENSG00000166938","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dis3l2","ENSMUSG00000053333","DIS3L2","ENSG00000144535","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Disc1","ENSMUSG00000043051","DISC1","ENSG00000162946","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Disp1","ENSMUSG00000030768","DISP1","ENSG00000154309","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Disp2","ENSMUSG00000040035","DISP2","ENSG00000140323","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dixdc1","ENSMUSG00000032064","DIXDC1","ENSG00000150764","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dkk3","ENSMUSG00000030772","DKK3","ENSG00000050165","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dlg1","ENSMUSG00000022770","DLG1","ENSG00000075711","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dlgap3","ENSMUSG00000042388","DLGAP3","ENSG00000116544","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dlgap4","ENSMUSG00000061689","DLGAP4","ENSG00000080845","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dmxl1","ENSMUSG00000037416","DMXL1","ENSG00000172869","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dmxl2","ENSMUSG00000041268","DMXL2","ENSG00000104093","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnaaf5","ENSMUSG00000025857","DNAAF5","ENSG00000164818","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnaja2","ENSMUSG00000031701","DNAJA2","ENSG00000069345","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajb12","ENSMUSG00000020109","DNAJB12","ENSG00000148719","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajb4","ENSMUSG00000028035","DNAJB4","ENSG00000162616","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajb6","ENSMUSG00000029131","DNAJB6","ENSG00000105993","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajb9","ENSMUSG00000014905","DNAJB9","ENSG00000128590","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc10","ENSMUSG00000027006","DNAJC10","ENSG00000077232","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc13","ENSMUSG00000032560","DNAJC13","ENSG00000138246","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc15","ENSMUSG00000022013","DNAJC15","ENSG00000120675","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc17","ENSMUSG00000034278","DNAJC17","ENSG00000104129","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc3","ENSMUSG00000022136","DNAJC3","ENSG00000102580","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc5","ENSMUSG00000000826","DNAJC5","ENSG00000101152","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnajc7","ENSMUSG00000014195","DNAJC7","ENSG00000168259","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnal4","ENSMUSG00000022420","DNAL4","ENSG00000100246","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnhd1","ENSMUSG00000030882","DNHD1","ENSG00000179532","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnm1","ENSMUSG00000026825","DNM1","ENSG00000106976","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnm1l","ENSMUSG00000022789","DNM1L","ENSG00000087470","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnmt1","ENSMUSG00000004099","DNMT1","ENSG00000130816","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dnmt3a","ENSMUSG00000020661","DNMT3A","ENSG00000119772","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dock4","ENSMUSG00000035954","DOCK4","ENSG00000128512","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dock6","ENSMUSG00000032198","DOCK6","ENSG00000130158","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dock7","ENSMUSG00000028556","DOCK7","ENSG00000116641","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dock9","ENSMUSG00000025558","DOCK9","ENSG00000088387","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dot1l","ENSMUSG00000061589","DOT1L","ENSG00000104885","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dpf3","ENSMUSG00000021221","DPF3","ENSG00000205683","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dpp8","ENSMUSG00000032393","DPP8","ENSG00000074603","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dpyd","ENSMUSG00000033308","DPYD","ENSG00000188641","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dpysl2","ENSMUSG00000022048","DPYSL2","ENSG00000092964","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dpysl3","ENSMUSG00000024501","DPYSL3","ENSG00000113657","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dpysl5","ENSMUSG00000029168","DPYSL5","ENSG00000157851","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dram2","ENSMUSG00000027900","DRAM2","ENSG00000156171","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Drg1","ENSMUSG00000020457","DRG1","ENSG00000185721","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dscaml1","ENSMUSG00000032087","DSCAML1","ENSG00000177103","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dst","ENSMUSG00000026131","DST","ENSG00000151914","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dtnbp1","ENSMUSG00000057531","DTNBP1","ENSG00000047579","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dtx2","ENSMUSG00000004947","DTX2","ENSG00000091073","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dtx3","ENSMUSG00000040415","DTX3","ENSG00000178498","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dtymk","ENSMUSG00000026281","DTYMK","ENSG00000168393","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dus2","ENSMUSG00000031901","DUS2","ENSG00000167264","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dusp11","ENSMUSG00000030002","DUSP11","ENSG00000144048","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dusp12","ENSMUSG00000026659","DUSP12","ENSG00000081721","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dusp16","ENSMUSG00000030203","DUSP16","ENSG00000111266","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dusp4","ENSMUSG00000031530","DUSP4","ENSG00000120875","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dvl2","ENSMUSG00000020888","DVL2","ENSG00000004975","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dync1h1","ENSMUSG00000018707","DYNC1H1","ENSG00000197102","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dync1i2","ENSMUSG00000027012","DYNC1I2","ENSG00000077380","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dync1li2","ENSMUSG00000035770","DYNC1LI2","ENSG00000135720","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dynll2","ENSMUSG00000020483","DYNLL2","ENSG00000264364","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dyrk1b","ENSMUSG00000002409","DYRK1B","ENSG00000105204","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dzip1","ENSMUSG00000042156","DZIP1","ENSG00000134874","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Dzip3","ENSMUSG00000064061","DZIP3","ENSG00000198919","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"E2f3","ENSMUSG00000016477","E2F3","ENSG00000112242","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"E2f5","ENSMUSG00000027552","E2F5","ENSG00000133740","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ebf3","ENSMUSG00000010476","EBF3","ENSG00000108001","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ebf4","ENSMUSG00000053552","EBF4","ENSG00000088881","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Echdc3","ENSMUSG00000039063","ECHDC3","ENSG00000134463","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Edc3","ENSMUSG00000038957","EDC3","ENSG00000179151","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eef1g","ENSMUSG00000071644","EEF1G","ENSG00000254772","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eef2","ENSMUSG00000034994","EEF2","ENSG00000167658","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Efhc1","ENSMUSG00000041809","EFHC1","ENSG00000096093","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Efna5","ENSMUSG00000048915","EFNA5","ENSG00000184349","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Efr3a","ENSMUSG00000015002","EFR3A","ENSG00000132294","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ehbp1","ENSMUSG00000042302","EHBP1","ENSG00000115504","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ehmt1","ENSMUSG00000036893","EHMT1","ENSG00000181090","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ehmt2","ENSMUSG00000013787","EHMT2","ENSG00000204371","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif1","ENSMUSG00000035530","EIF1","ENSG00000173812","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif1b","ENSMUSG00000006941","EIF1B","ENSG00000114784","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif2a","ENSMUSG00000027810","EIF2A","ENSG00000144895","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif2ak2","ENSMUSG00000024079","EIF2AK2","ENSG00000055332","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif2b3","ENSMUSG00000028683","EIF2B3","ENSG00000070785","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif3a","ENSMUSG00000024991","EIF3A","ENSG00000107581","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif3b","ENSMUSG00000056076","EIF3B","ENSG00000106263","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif3l","ENSMUSG00000033047","EIF3L","ENSG00000100129","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif3m","ENSMUSG00000027170","EIF3M","ENSG00000149100","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4e","ENSMUSG00000028156","EIF4E","ENSG00000151247","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4e2","ENSMUSG00000026254","EIF4E2","ENSG00000135930","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4ebp1","ENSMUSG00000031490","EIF4EBP1","ENSG00000187840","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4enif1","ENSMUSG00000020454","EIF4ENIF1","ENSG00000184708","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4g1","ENSMUSG00000045983","EIF4G1","ENSG00000114867","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4g2","ENSMUSG00000005610","EIF4G2","ENSG00000110321","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4g3","ENSMUSG00000028760","EIF4G3","ENSG00000075151","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif4h","ENSMUSG00000040731","EIF4H","ENSG00000106682","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eif5","ENSMUSG00000021282","EIF5","ENSG00000100664","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elavl1","ENSMUSG00000040028","ELAVL1","ENSG00000066044","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elavl2","ENSMUSG00000008489","ELAVL2","ENSG00000107105","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elavl3","ENSMUSG00000003410","ELAVL3","ENSG00000196361","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elavl4","ENSMUSG00000028546","ELAVL4","ENSG00000162374","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elf2","ENSMUSG00000037174","ELF2","ENSG00000109381","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elk4","ENSMUSG00000026436","ELK4","ENSG00000158711","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elovl6","ENSMUSG00000041220","ELOVL6","ENSG00000170522","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elp2","ENSMUSG00000024271","ELP2","ENSG00000134759","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Elp5","ENSMUSG00000018565","ELP5","ENSG00000170291","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Emb","ENSMUSG00000021728","EMB","ENSG00000170571","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Emid1","ENSMUSG00000034164","EMID1","ENSG00000186998","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eml4","ENSMUSG00000032624","EML4","ENSG00000143924","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eml5","ENSMUSG00000051166","EML5","ENSG00000165521","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Enah","ENSMUSG00000022995","ENAH","ENSG00000154380","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Enc1","ENSMUSG00000041773","ENC1","ENSG00000171617","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Endov","ENSMUSG00000039850","ENDOV","ENSG00000173818","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Enoph1","ENSMUSG00000029326","ENOPH1","ENSG00000145293","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Enox1","ENSMUSG00000022012","ENOX1","ENSG00000120658","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ensa","ENSMUSG00000038619","ENSA","ENSG00000143420","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Epb41","ENSMUSG00000028906","EPB41","ENSG00000159023","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Epb41l2","ENSMUSG00000019978","EPB41L2","ENSG00000079819","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Epb41l3","ENSMUSG00000024044","EPB41L3","ENSG00000082397","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Epc1","ENSMUSG00000024240","EPC1","ENSG00000120616","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Epm2aip1","ENSMUSG00000046785","EPM2AIP1","ENSG00000178567","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Epn1","ENSMUSG00000035203","EPN1","ENSG00000063245","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eprs","ENSMUSG00000026615","EPRS1","ENSG00000136628","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eps15","ENSMUSG00000028552","EPS15","ENSG00000085832","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eps15l1","ENSMUSG00000006276","EPS15L1","ENSG00000127527","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Erc1","ENSMUSG00000030172","ERC1","ENSG00000082805","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ercc6","ENSMUSG00000054051","ERCC6","ENSG00000225830","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Erh","ENSMUSG00000021131","ERH","ENSG00000100632","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Eri3","ENSMUSG00000033423","ERI3","ENSG00000117419","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ern1","ENSMUSG00000020715","ERN1","ENSG00000178607","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ero1l","ENSMUSG00000021831","ERO1A","ENSG00000197930","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Erp44","ENSMUSG00000028343","ERP44","ENSG00000023318","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Etfa","ENSMUSG00000032314","ETFA","ENSG00000140374","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Etnk1","ENSMUSG00000030275","ETNK1","ENSG00000139163","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Etv5","ENSMUSG00000013089","ETV5","ENSG00000244405","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Etv6","ENSMUSG00000030199","ETV6","ENSG00000139083","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Evi5","ENSMUSG00000011831","EVI5","ENSG00000067208","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Evl","ENSMUSG00000021262","EVL","ENSG00000196405","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ewsr1","ENSMUSG00000009079","EWSR1","ENSG00000182944","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Exoc4","ENSMUSG00000029763","EXOC4","ENSG00000131558","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Exoc6b","ENSMUSG00000033769","EXOC6B","ENSG00000144036","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Exoc8","ENSMUSG00000074030","EXOC8","ENSG00000116903","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ext1","ENSMUSG00000061731","EXT1","ENSG00000182197","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Extl1","ENSMUSG00000028838","EXTL1","ENSG00000158008","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ezh2","ENSMUSG00000029687","EZH2","ENSG00000106462","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Faf1","ENSMUSG00000010517","FAF1","ENSG00000185104","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam114a2","ENSMUSG00000020523","FAM114A2","ENSG00000055147","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam120a","ENSMUSG00000038014","FAM120A","ENSG00000048828","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam120b","ENSMUSG00000014763","FAM120B","ENSG00000112584","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam120c","ENSMUSG00000025262","FAM120C","ENSG00000184083","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam133b","ENSMUSG00000058503","FAM133B","ENSG00000234545","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam13b","ENSMUSG00000036501","FAM13B","ENSG00000031003","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam13c","ENSMUSG00000043259","FAM13C","ENSG00000148541","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam160a2","ENSMUSG00000044465","FAM160A2","ENSG00000051009","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Fam162a","ENSMUSG00000003955","FAM162A","ENSG00000114023","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
