"","seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_name","gene_status","gene_type","talon_gene","havana_gene","hgnc_id","level","remap_num_mappings","remap_status","remap_target_status","transcript_id","transcript_status","transcript_name","talon_transcript","NNC_transcript","exon_number","exon_id","talon_exon","exon_status","ont","remap_original_location","source.1","tag","NIC_transcript","ISM.prefix_to_IDs","ISM.prefix_transcript","ISM_to_IDs","ISM_transcript","ISM.suffix_to_IDs","ISM.suffix_transcript","transcript_type","havana_transcript","transcript_support_level","gencode_gene_status","remap_substituted_missing_target","gencode_transcript_status","ccdsid","protein_id","genomic_transcript","intergenic_novel","intergenic_transcript","antisense_gene","gene_antisense_to_IDs","antisense_transcript"
"1126","chr2",210345693,210346076,384,"+","TALON","exon",NA,NA,"ENSG00000078018.20_7","MAP2","KNOWN","protein_coding","9405",NA,NA,NA,NA,NA,NA,"TALONT000761556","NOVEL","TALONT000761556","761556",NA,"2","1825115","1825115","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127","chr2",210672008,210673528,1521,"+","TALON","exon",NA,NA,"ENSG00000144406.19_5","UNC80","KNOWN","protein_coding","9407",NA,NA,NA,NA,NA,NA,"TALONT000766457","NOVEL","TALONT000766457","766457",NA,"8","1832489","1832489","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128","chr2",212992770,212992781,12,"-","TALON","exon",NA,NA,"ENSG00000178568.15_6","ERBB4","KNOWN","protein_coding","9425",NA,NA,NA,NA,NA,NA,"TALONT000769964","NOVEL","TALONT000769964","769964",NA,"1","1837153","1837153","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129","chr2",212708333,212710229,1897,"-","TALON","exon",NA,NA,"ENSG00000178568.15_6","ERBB4","KNOWN","protein_coding","9425",NA,NA,NA,NA,NA,NA,"TALONT000770375","NOVEL","TALONT000770375","770375",NA,"1","1838313","1838313","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","chr2",212706990,212708223,1234,"-","TALON","exon",NA,NA,"ENSG00000178568.15_6","ERBB4","KNOWN","protein_coding","9425",NA,NA,NA,NA,NA,NA,"TALONT000770375","NOVEL","TALONT000770375","770375",NA,"2","1838314","1838314","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131","chr2",212992766,212992781,16,"+","TALON","exon",NA,NA,"ENSG00000199585.1_1","RNA5SP119","KNOWN","rRNA_pseudogene","9426",NA,NA,NA,NA,NA,NA,"TALONT001610819","NOVEL","TALONT001610819","1610819",NA,"26","1838250","1838250","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132","chr2",213290527,213290987,461,"-","TALON","exon",NA,NA,"ENSG00000221782.1","MIR548F2","KNOWN","miRNA","9429",NA,NA,NA,NA,NA,NA,"TALONT000771564","NOVEL","TALONT000771564","771564",NA,"2","1840058","1840058","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133","chr2",214261231,214264354,3124,"+","TALON","exon",NA,NA,"ENSG00000144451.19_3","SPAG16","KNOWN","protein_coding","9442",NA,NA,NA,NA,NA,NA,"TALONT000772275","NOVEL","TALONT000772275","772275",NA,"10","1841222","1841222","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","chr2",214233538,214236119,2582,"+","TALON","exon",NA,NA,"ENSG00000144451.19_3","SPAG16","KNOWN","protein_coding","9442",NA,NA,NA,NA,NA,NA,"TALONT000772285","NOVEL","TALONT000772285","772285",NA,"9","1841236","1841236","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","chr2",214233538,214235243,1706,"+","TALON","exon",NA,NA,"ENSG00000144451.19_3","SPAG16","KNOWN","protein_coding","9442",NA,NA,NA,NA,NA,NA,"TALONT001611002","NOVEL","TALONT001611002","1611002",NA,"8","1841250","1841250","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136","chr2",214182727,214183356,630,"+","TALON","exon",NA,NA,"ENSG00000144451.19_3","SPAG16","KNOWN","protein_coding","9442",NA,NA,NA,NA,NA,NA,"TALONT000772318","NOVEL","TALONT000772318","772318",NA,"6","1841283","1841283","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137","chr2",216224011,216224443,433,"+","TALON","exon",NA,NA,"ENSG00000138363.15_5","ATIC","KNOWN","protein_coding","9458",NA,NA,NA,NA,NA,NA,"TALONT001611140","NOVEL","TALONT001611140","1611140",NA,"16","3335838","3335838","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138","chr2",216216477,216216931,455,"+","TALON","exon",NA,NA,"ENSG00000138363.15_5","ATIC","KNOWN","protein_coding","9458",NA,NA,NA,NA,NA,NA,"TALONT001611167","NOVEL","TALONT001611167","1611167",NA,"17","3335851","3335851","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","chr2",216895177,216895341,165,"-","TALON","exon",NA,NA,"ENSG00000115425.14_5","PECR","KNOWN","protein_coding","9473",NA,NA,NA,NA,NA,NA,"TALONT000774560","NOVEL","TALONT000774560","774560",NA,"2","1844812","1844812","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140","chr2",216895335,216895337,3,"-","TALON","exon",NA,NA,"ENSG00000115425.14_5","PECR","KNOWN","protein_coding","9473",NA,NA,NA,NA,NA,NA,"TALONT001611573","NOVEL","TALONT001611573","1611573",NA,"2","3336717","3336717","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","chr2",216980300,216980476,177,"+","TALON","exon",NA,NA,"ENSG00000079246.16_5","XRCC5","KNOWN","protein_coding","9475",NA,NA,NA,NA,NA,NA,"TALONT000779711","NOVEL","TALONT000779711","779711",NA,"1","1853501","1853501","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","chr2",216995044,216995290,247,"+","TALON","exon",NA,NA,"ENSG00000079246.16_5","XRCC5","KNOWN","protein_coding","9475",NA,NA,NA,NA,NA,NA,"TALONT000780065","NOVEL","TALONT000780065","780065",NA,"1","1854033","1854033","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","chr2",217072247,217072735,489,"+","TALON","exon",NA,NA,"ENSG00000079246.16_5","XRCC5","KNOWN","protein_coding","9475",NA,NA,NA,NA,NA,NA,"TALONT001612856","NOVEL","TALONT001612856","1612856",NA,"1","3339121","3339121","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","chr2",217073756,217074325,570,"+","TALON","exon",NA,NA,"ENSG00000079246.16_5","XRCC5","KNOWN","protein_coding","9475",NA,NA,NA,NA,NA,NA,"TALONT001612856","NOVEL","TALONT001612856","1612856",NA,"2","1854886","1854886","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","chr2",220143785,220143820,36,"+","TALON","exon",NA,NA,"ENSG00000135924.15_5","DNAJB2","KNOWN","protein_coding","9589",NA,NA,NA,NA,NA,NA,"TALONT002775116","NOVEL","TALONT002775116","2775116",NA,"1","3343912","3343912","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","chr2",220252968,220253111,144,"-","TALON","exon",NA,NA,"ENSG00000123992.19_6","DNPEP","KNOWN","protein_coding","9595",NA,NA,NA,NA,NA,NA,"TALONT001615780","NOVEL","TALONT001615780","1615780",NA,"1","3344129","3344129","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","chr2",223218625,223221445,2821,"+","TALON","exon",NA,NA,"ENSG00000237732.9_7","CT75","KNOWN","transcribed_unprocessed_pseudogene","9647",NA,NA,NA,NA,NA,NA,"TALONT000788350","NOVEL","TALONT000788350","788350",NA,"4","1866231","1866231","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","chr2",223218625,223220371,1747,"+","TALON","exon",NA,NA,"ENSG00000237732.9_7","CT75","KNOWN","transcribed_unprocessed_pseudogene","9647",NA,NA,NA,NA,NA,NA,"TALONT001617083","NOVEL","TALONT001617083","1617083",NA,"3","3345781","3345781","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","chr2",223511520,223511715,196,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788437","NOVEL","TALONT000788437","788437",NA,"3","1866279","1866279","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150","chr2",223477986,223478099,114,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788495","NOVEL","TALONT000788495","788495",NA,"16","1866469","1866469","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","chr2",223493389,223493441,53,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788518","NOVEL","TALONT000788518","788518",NA,"11","1866515","1866515","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","chr2",223509604,223509640,37,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788533","NOVEL","TALONT000788533","788533",NA,"3","1866541","1866541","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","chr2",223509604,223512044,2441,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788585","NOVEL","TALONT000788585","788585",NA,"3","1866393","1866393","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","chr2",223511520,223512044,525,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788776","NOVEL","TALONT000788776","788776",NA,"3","1867046","1867046","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","chr2",223511520,223511689,170,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788779","NOVEL","TALONT000788779","788779",NA,"3","1867021","1867021","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1156","chr2",223477986,223478096,111,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000788826","NOVEL","TALONT000788826","788826",NA,"16","1867110","1867110","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157","chr2",223510348,223512044,1697,"-","TALON","exon",NA,NA,"ENSG00000116120.11_5","FARSB","KNOWN","protein_coding","9653",NA,NA,NA,NA,NA,NA,"TALONT000789167","NOVEL","TALONT000789167","789167",NA,"3","1867603","1867603","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","chr2",224711991,224712252,262,"-","TALON","exon",NA,NA,"ENSG00000286239.1_2","AC093884.1","KNOWN","protein_coding","9672",NA,NA,NA,NA,NA,NA,"TALONT000790141","NOVEL","TALONT000790141","790141",NA,"14","1868986","1868986","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159","chr2",224809184,224809272,89,"+","TALON","exon",NA,NA,"ENSG00000135900.4_4","MRPL44","KNOWN","protein_coding","9674",NA,NA,NA,NA,NA,NA,"TALONT000790521","NOVEL","TALONT000790521","790521",NA,"1","1869449","1869449","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","chr2",224896564,224896768,205,"-","TALON","exon",NA,NA,"ENSG00000135919.13_6","SERPINE2","KNOWN","protein_coding","9676",NA,NA,NA,NA,NA,NA,"TALONT001618287","NOVEL","TALONT001618287","1618287",NA,"2","3347509","3347509","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","chr2",225423082,225423135,54,"-","TALON","exon",NA,NA,"ENSG00000036257.13_5","CUL3","KNOWN","protein_coding","9682",NA,NA,NA,NA,NA,NA,"TALONT002220066","NOVEL","TALONT002220066","2220066",NA,"1","3347640","3347640","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","chr2",226593946,226596450,2505,"+","TALON","exon",NA,NA,"ENSG00000144460.12_3","NYAP2","KNOWN","protein_coding","9687",NA,NA,NA,NA,NA,NA,"TALONT001618445","NOVEL","TALONT001618445","1618445",NA,"7","3347844","3347844","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","chr2",229041925,229043553,1629,"-","TALON","exon",NA,NA,"ENSG00000153820.13_4","SPHKAP","KNOWN","protein_coding","9727",NA,NA,NA,NA,NA,NA,"TALONT001618895","NOVEL","TALONT001618895","1618895",NA,"2","3348679","3348679","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164","chr2",230370928,230370969,42,"-","TALON","exon",NA,NA,"ENSG00000187957.8_4","DNER","KNOWN","protein_coding","9738",NA,NA,NA,NA,NA,NA,"TALONT000794119","NOVEL","TALONT000794119","794119",NA,"7","1874345","1874345","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165","chr2",230258920,230259213,294,"-","TALON","exon",NA,NA,"ENSG00000187957.8_4","DNER","KNOWN","protein_coding","9738",NA,NA,NA,NA,NA,NA,"TALONT000794243","NOVEL","TALONT000794243","794243",NA,"11","1874671","1874671","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166","chr2",230409481,230409543,63,"-","TALON","exon",NA,NA,"ENSG00000187957.8_4","DNER","KNOWN","protein_coding","9738",NA,NA,NA,NA,NA,NA,"TALONT000794395","NOVEL","TALONT000794395","794395",NA,"6","1874933","1874933","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","chr2",230234870,230235001,132,"-","TALON","exon",NA,NA,"ENSG00000187957.8_4","DNER","KNOWN","protein_coding","9738",NA,NA,NA,NA,NA,NA,"TALONT001619497","NOVEL","TALONT001619497","1619497",NA,"12","3349762","3349762","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168","chr2",231729069,231729273,205,"+","TALON","exon",NA,NA,"ENSG00000135916.16_6","ITM2C","KNOWN","protein_coding","9768",NA,NA,NA,NA,NA,NA,"TALONT002222088","NOVEL","TALONT002222088","2222088",NA,"1","4509168","4509168","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","chr2",231914434,231915674,1241,"+","TALON","exon",NA,NA,"ENSG00000204128.6_3","C2orf72","KNOWN","protein_coding","9776",NA,NA,NA,NA,NA,NA,"TALONT000798379","NOVEL","TALONT000798379","798379",NA,"1","1880229","1880229","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","chr2",231915720,231916270,551,"+","TALON","exon",NA,NA,"ENSG00000204128.6_3","C2orf72","KNOWN","protein_coding","9776",NA,NA,NA,NA,NA,NA,"TALONT000798379","NOVEL","TALONT000798379","798379",NA,"2","1880230","1880230","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171","chr2",232017431,232017525,95,"+","TALON","exon",NA,NA,"ENSG00000173692.13_5","PSMD1","KNOWN","protein_coding","9778",NA,NA,NA,NA,NA,NA,"TALONT000798410","NOVEL","TALONT000798410","798410",NA,"19","1880254","1880254","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172","chr2",233212394,233213266,873,"+","TALON","exon",NA,NA,"ENSG00000144535.19_7","DIS3L2","KNOWN","protein_coding","9814",NA,NA,NA,NA,NA,NA,"TALONT001623636","NOVEL","TALONT001623636","1623636",NA,"21","3356850","3356850","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173","chr2",233440174,233440289,116,"+","TALON","exon",NA,NA,"ENSG00000135930.14_9","EIF4E2","KNOWN","protein_coding","9834",NA,NA,NA,NA,NA,NA,"TALONT001623742","NOVEL","TALONT001623742","1623742",NA,"8","3357080","3357080","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","chr2",233753415,233753582,168,"-","TALON","exon",NA,NA,"ENSG00000066248.15_6","NGEF","KNOWN","protein_coding","9846",NA,NA,NA,NA,NA,NA,"TALONT002780105","NOVEL","TALONT002780105","2780105",NA,"7","5537558","5537558","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","chr2",233756396,233756464,69,"-","TALON","exon",NA,NA,"ENSG00000066248.15_6","NGEF","KNOWN","protein_coding","9846",NA,NA,NA,NA,NA,NA,"TALONT002780223","NOVEL","TALONT002780223","2780223",NA,"6","5537704","5537704","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176","chr2",234306975,234307095,121,"+","TALON","exon",NA,NA,"ENSG00000077044.10_3","DGKD","KNOWN","protein_coding","9856",NA,NA,NA,NA,NA,NA,"TALONT001624376","NOVEL","TALONT001624376","1624376",NA,"4","3358113","3358113","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","chr2",234298541,234298687,147,"+","TALON","exon",NA,NA,"ENSG00000077044.10_3","DGKD","KNOWN","protein_coding","9856",NA,NA,NA,NA,NA,NA,"TALONT002225738","NOVEL","TALONT002225738","2225738",NA,"3","1887549","1887549","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178","chr2",234376539,234376894,356,"+","TALON","exon",NA,NA,"ENSG00000077044.10_3","DGKD","KNOWN","protein_coding","9856",NA,NA,NA,NA,NA,NA,"TALONT001624465","NOVEL","TALONT001624465","1624465",NA,"1","3358240","3358240","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179","chr2",238553354,238557208,3855,"+","TALON","exon",NA,NA,"ENSG00000124831.19_5","LRRFIP1","KNOWN","protein_coding","9937",NA,NA,NA,NA,NA,NA,"TALONT000804327","NOVEL","TALONT000804327","804327",NA,"2","1889216","1889216","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180","chr2",239149823,239150070,248,"+","TALON","exon",NA,NA,"ENSG00000225057.2_6","AC012485.1","KNOWN","lncRNA","9952",NA,NA,NA,NA,NA,NA,"TALONT000805017","NOVEL","TALONT000805017","805017",NA,"1","1890191","1890191","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181","chr2",239201498,239202038,541,"+","TALON","exon",NA,NA,"ENSG00000283635.1_6","AC012485.3","KNOWN","lncRNA","9955",NA,NA,NA,NA,NA,NA,"TALONT000805058","NOVEL","TALONT000805058","805058",NA,"2","1890263","1890263","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182","chr2",240014576,240016106,1531,"-","TALON","exon",NA,NA,"ENSG00000068024.16_4","HDAC4","KNOWN","protein_coding","9971",NA,NA,NA,NA,NA,NA,"TALONT000805351","NOVEL","TALONT000805351","805351",NA,"2","1890775","1890775","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183","chr2",240927046,240928029,984,"-","TALON","exon",NA,NA,"ENSG00000130414.12_7","NDUFA10","KNOWN","protein_coding","9995",NA,NA,NA,NA,NA,NA,"TALONT000805886","NOVEL","TALONT000805886","805886",NA,"10","1891613","1891613","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","chr2",241395869,241395981,113,"+","TALON","exon",NA,NA,"ENSG00000063660.9_4","GPC1","KNOWN","protein_coding","10007",NA,NA,NA,NA,NA,NA,"TALONT001626445","NOVEL","TALONT001626445","1626445",NA,"1","3361770","3361770","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185","chr2",241760757,241760842,86,"-","TALON","exon",NA,NA,"ENSG00000130294.16_6","KIF1A","KNOWN","protein_coding","10022",NA,NA,NA,NA,NA,NA,"TALONT000807379","NOVEL","TALONT000807379","807379",NA,"1","1893849","1893849","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186","chr2",242118059,242119680,1622,"+","TALON","exon",NA,NA,"ENSG00000115685.15_4","PPP1R7","KNOWN","protein_coding","10034",NA,NA,NA,NA,NA,NA,"TALONT001627170","NOVEL","TALONT001627170","1627170",NA,"10","1895682","1895682","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187","chr2",242230448,242230506,59,"-","TALON","exon",NA,NA,"ENSG00000115677.17_7","HDLBP","KNOWN","protein_coding","10036",NA,NA,NA,NA,NA,NA,"TALONT002227518","NOVEL","TALONT002227518","2227518",NA,"2","3363207","3363207","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1188","chr2",242269026,242269153,128,"+","TALON","exon",NA,NA,"ENSG00000168385.18_6","SEPTIN2","KNOWN","protein_coding","10038",NA,NA,NA,NA,NA,NA,"TALONT000809132","NOVEL","TALONT000809132","809132",NA,"3","1897095","1897095","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189","chr2",242499486,242499679,194,"+","TALON","exon",NA,NA,"ENSG00000176720.6_6","BOK","KNOWN","protein_coding","10047",NA,NA,NA,NA,NA,NA,"TALONT000815105","NOVEL","TALONT000815105","815105",NA,"3","1906215","1906215","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1190","chr2",242578329,242578545,217,"+","TALON","exon",NA,NA,"ENSG00000168397.17_5","ATG4B","KNOWN","protein_coding","10051",NA,NA,NA,NA,NA,NA,"TALONT000815301","NOVEL","TALONT000815301","815301",NA,"2","1906525","1906525","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
